iso_time,pid,uptime_s,pss_kb,native_heap_kb,dalvik_heap_kb,graphics_kb,cpu_pct,proc_name,memfree_kb,cached_kb,swapfree_kb,swap_kb,swappss_kb,pgfault,pgmajfault,pid_changed
NA,2192,35300.63,585302,557200,1895,0,181,jp.co.aecom.beesightm,164256,671780,949964,2916,NA,NA,NA,0
NA,2192,35606.40,589698,557732,851,0,181,jp.co.aecom.beesightm,166260,671796,949964,2916,NA,NA,NA,0
NA,2192,35910.47,593681,564572,1539,0,181,jp.co.aecom.beesightm,143036,667084,949884,2948,NA,NA,NA,0
NA,2192,36214.52,597105,568536,855,0,180,jp.co.aecom.beesightm,170932,656516,949520,3048,NA,NA,NA,0
NA,2192,36520.62,598949,572168,955,0,180,jp.co.aecom.beesightm,147332,655972,949524,3048,NA,NA,NA,0
NA,2192,36826.41,604723,576368,839,0,182,jp.co.aecom.beesightm,141732,656168,949524,3048,NA,NA,NA,0
NA,2192,37130.43,609031,577532,2467,0,181,jp.co.aecom.beesightm,134836,655992,949524,3048,NA,NA,NA,0
NA,2192,37434.70,613031,583608,1903,0,182,jp.co.aecom.beesightm,129668,652036,949396,3092,NA,NA,NA,0
NA,2192,37740.52,615843,584260,1647,0,181,jp.co.aecom.beesightm,155420,631720,948560,3160,NA,NA,NA,0
NA,2192,38045.48,619639,591180,1899,0,182,jp.co.aecom.beesightm,138412,632076,948564,3160,NA,NA,NA,0
NA,2192,38349.42,620287,592660,2015,0,182,jp.co.aecom.beesightm,157652,632456,948564,3160,NA,NA,NA,0
NA,2192,38655.54,625355,598960,1991,0,182,jp.co.aecom.beesightm,153816,632180,948576,3160,NA,NA,NA,0
NA,2192,38961.33,631341,600256,1891,0,181,jp.co.aecom.beesightm,142040,627416,948436,3176,NA,NA,NA,0
NA,2192,39265.36,634781,606344,2367,0,182,jp.co.aecom.beesightm,126756,627892,948436,3176,NA,NA,NA,0
NA,2192,39570.51,639393,611324,1891,0,181,jp.co.aecom.beesightm,185820,608284,947964,3208,NA,NA,NA,0
NA,2192,39876.44,642701,611668,1607,0,181,jp.co.aecom.beesightm,182716,608476,947964,3208,NA,NA,NA,0
NA,2192,40181.36,646569,618216,1919,0,181,jp.co.aecom.beesightm,158688,608312,947964,3208,NA,NA,NA,0
NA,2192,40485.40,647017,618556,983,0,182,jp.co.aecom.beesightm,124752,609044,947964,3208,NA,NA,NA,0
NA,2192,40791.44,650549,625676,1787,0,182,jp.co.aecom.beesightm,143096,608508,947964,3208,NA,NA,NA,0
NA,2192,41097.41,657675,629472,2003,0,182,jp.co.aecom.beesightm,176860,589976,947484,3240,NA,NA,NA,0
NA,2192,41402.35,661179,630836,2471,0,182,jp.co.aecom.beesightm,165868,590064,947484,3240,NA,NA,NA,0
NA,2192,41707.34,665503,634576,1991,0,182,jp.co.aecom.beesightm,159848,590068,947488,3240,NA,NA,NA,0
NA,2192,42013.36,668609,640696,1923,0,181,jp.co.aecom.beesightm,186460,571656,946968,3292,NA,NA,NA,0
NA,2192,42317.29,672741,644740,1991,0,182,jp.co.aecom.beesightm,170992,571768,946968,3292,NA,NA,NA,0
NA,2192,42621.26,675569,648628,1991,0,182,jp.co.aecom.beesightm,158432,572232,946968,3292,NA,NA,NA,0
NA,2192,42927.59,677853,652668,1987,0,181,jp.co.aecom.beesightm,168232,571680,946968,3292,NA,NA,NA,0
NA,2192,43232.26,684209,653736,1991,0,181,jp.co.aecom.beesightm,170528,572348,946968,3292,NA,NA,NA,0
NA,2192,43536.30,688221,656736,1759,0,180,jp.co.aecom.beesightm,147856,568604,946920,3292,NA,NA,NA,0
NA,2192,43840.41,692471,660524,2495,0,181,jp.co.aecom.beesightm,140288,564596,946884,3296,NA,NA,NA,0
NA,2192,44146.44,695904,667544,1983,0,180,jp.co.aecom.beesightm,149028,564616,946884,3296,NA,NA,NA,0
NA,2192,44451.29,696164,671360,1983,0,181,jp.co.aecom.beesightm,130636,564628,946884,3296,NA,NA,NA,0
NA,2192,44755.30,703297,672912,1539,0,182,jp.co.aecom.beesightm,129124,561924,946856,3296,NA,NA,NA,0
NA,2192,45060.40,704220,679224,831,0,183,jp.co.aecom.beesightm,153808,544132,946408,3296,NA,NA,NA,0
NA,2192,45366.30,710924,683236,2007,0,182,jp.co.aecom.beesightm,143316,544152,946412,3296,NA,NA,NA,0
NA,2192,45670.24,712912,686660,1431,0,182,jp.co.aecom.beesightm,124324,544164,946412,3296,NA,NA,NA,0
NA,2192,45974.27,717812,688128,2367,0,182,jp.co.aecom.beesightm,137184,544536,946412,3296,NA,NA,NA,0
NA,2192,46280.26,721856,694020,1427,0,182,jp.co.aecom.beesightm,144476,544088,946412,3296,NA,NA,NA,0
NA,2192,46586.36,725207,698532,1519,0,182,jp.co.aecom.beesightm,125460,535872,946228,3296,NA,NA,NA,0
NA,2192,46891.26,726352,701916,1919,0,179,jp.co.aecom.beesightm,245728,495104,946052,3296,NA,NA,NA,0
NA,2192,47196.24,732464,705712,1891,0,182,jp.co.aecom.beesightm,136820,520124,945832,3304,NA,NA,NA,0
NA,2192,47501.20,736148,709672,1303,0,182,jp.co.aecom.beesightm,134596,520388,945832,3304,NA,NA,NA,0
NA,2192,47806.27,739975,711060,1991,0,182,jp.co.aecom.beesightm,167804,504576,945160,3304,NA,NA,NA,0
NA,2192,48110.45,743763,714656,1919,0,182,jp.co.aecom.beesightm,168228,505040,945160,3304,NA,NA,NA,0
NA,2192,48416.14,747587,720704,851,0,181,jp.co.aecom.beesightm,180012,505128,945160,3304,NA,NA,NA,0
NA,2192,48722.20,751371,724256,2447,0,181,jp.co.aecom.beesightm,135076,505228,945160,3304,NA,NA,NA,0
NA,2192,49026.11,755154,728508,1991,0,181,jp.co.aecom.beesightm,148200,505064,945160,3304,NA,NA,NA,0
NA,2192,49331.30,756414,732232,1987,0,181,jp.co.aecom.beesightm,169948,505176,945160,3304,NA,NA,NA,0
NA,2192,49637.24,762460,736036,2015,0,182,jp.co.aecom.beesightm,159024,501764,945080,3308,NA,NA,NA,0
NA,2192,49942.18,762092,739772,1539,0,182,jp.co.aecom.beesightm,141508,501768,945084,3308,NA,NA,NA,0
NA,2192,50246.23,769618,741320,2007,0,176,jp.co.aecom.beesightm,147900,487956,944512,3348,NA,NA,NA,0
NA,2192,50552.20,770867,744300,1323,0,178,jp.co.aecom.beesightm,194464,462120,942988,3360,NA,NA,NA,0
NA,2192,50858.16,775211,751120,2023,0,180,jp.co.aecom.beesightm,173856,461872,942988,3360,NA,NA,NA,0
NA,2192,51162.14,781143,755332,1543,0,181,jp.co.aecom.beesightm,154720,463592,942992,3360,NA,NA,NA,0
NA,2192,51466.24,785332,759132,963,0,181,jp.co.aecom.beesightm,147220,452844,942264,3360,NA,NA,NA,0
NA,2192,51772.12,789016,762276,1027,0,182,jp.co.aecom.beesightm,157968,453104,942264,3360,NA,NA,NA,0
NA,2192,52077.20,792144,766044,1911,0,181,jp.co.aecom.beesightm,132016,453592,942264,3360,NA,NA,NA,0
NA,2192,52382.26,795404,770068,2459,0,181,jp.co.aecom.beesightm,177604,453228,942264,3360,NA,NA,NA,0
NA,2192,52689.30,796468,774076,851,0,185,jp.co.aecom.beesightm,186412,453236,942264,3360,NA,NA,NA,0
NA,2192,52995.25,802940,777692,1991,0,185,jp.co.aecom.beesightm,153648,452332,942252,3364,NA,NA,NA,0
NA,2192,53300.14,806766,781140,1539,0,184,jp.co.aecom.beesightm,263456,320068,942216,3376,NA,NA,NA,0
NA,2192,53605.11,809609,784976,1891,0,182,jp.co.aecom.beesightm,144668,441572,941408,3440,NA,NA,NA,0
NA,2192,53911.06,811490,786164,1991,0,183,jp.co.aecom.beesightm,135348,441752,941408,3440,NA,NA,NA,0
NA,2192,54216.15,818552,792304,1775,0,189,jp.co.aecom.beesightm,131612,440136,941212,3532,NA,NA,NA,0
